UserId,ItemId
47,592 2138 963 516 425 2254 27 9 1525 1851 2390 1499 305 1321 2198 1556 1693 1342 1913 1135 2718 87 697 605 2950 3050 824 2629 206 7 1232 1409 2279 2654 501 731 61 1143 1994 76 1709 579 1087 1297 1933 1320 730 1833 183 2379
48,1553 22 3050 58 66 1709 2220 1658 2243 550 666 10 2273 1978 1497 2047 2901 304 599 1739 3198 404 2290 59 664 1754 2896 1775 860 17 964 3075 56 1510 4 428 69 2951 1964 908 1240 243 241 2401 272 2451 250 1679 2651 1436
49,912 2531 2488 278 18 1337 442 550 61 63 910 2254 615 87 99 648 194 2582 798 1964 754 2028 737 2908 338 3058 3011 1740 372 1409 2136 86 347 666 1109 1814 1062 1107 893 206 1277 2866 22 4 627 109 2195 36 1064 2767
50,2092 2246 939 384 30 937 153 2716 1610 3185 1466 2461 1720 1107 651 330 2795 386 1047 492 85 515 98 125 40 2392 2910 2017 2313 567 274 2839 1418 1661 189 58 443 1546 1833 51 2393 2705 1497 506 1912 59 2534 412 1709 809
51,170 748 2448 2387 671 627 938 1733 85 1612 422 84 411 1496 271 270 1170 1280 3018 205 174 3139 173 1275 1385 11 666 811 98 40 1233 1221 2368 639 837 427 2661 361 254 965 585 250 1160 1701 1520 2593 783 1424 2056 366
52,338 1062 1036 1907 81 98 987 1981 2559 1077 947 2950 2757 2176 2440 2481 11 3054 704 3053 2531 1107 1320 93 661 2526 1869 1428 441 386 38 2044 317 2941 2171 707 33 592 1658 530 267 950 515 2875 1648 1367 366 2611 1948 1573
53,1 978 1180 1293 1383 382 315 1414 354 39 1102 2423 723 1039 2213 1021 2238 1304 254 2781 2504 2339 185 754 2024 213 800 2079 179 1569 674 962 431 2685 267 697 1540 1048 110 502 558 2772 1170 1603 1559 82 1808 106 1904 205
54,3025 1847 2760 1358 923 93 92 1084 888 762 1239 558 67 1510 1394 648 2362 779 59 1448 2352 928 2251 478 1287 11 565 579 716 2430 1255 2632 330 2685 1158 2315 533 1110 2402 1041 621 937 491 1948 1303 1535 1707 705 1211 448
55,2824 2892 1448 139 1739 1738 2289 1732 897 1331 866 1614 541 1336 2035 1171 83 1780 2813 1533 122 1317 1573 1658 279 428 2885 1475 39 810 2857 1596 991 3023 877 2307 2946 1148 158 2063 2514 2930 526 1240 939 1619 293 1848 656 577
56,2650 3085 1754 18 6 21 2718 1496 2488 2489 537 4 2227 3139 861 1095 127 176 95 3023 2461 991 509 87 1166 593 179 949 177 1734 67 2440 121 2248 503 435 2024 550 2129 16 2423 517 20 340 347 1203 55 993 1540 2805
57,145 2617 1954 1568 1358 1321 1257 1108 84 761 354 205 1523 2528 3061 1284 2345 233 357 2846 3063 2272 254 546 2470 1849 418 769 515 978 257 1067 1242 1430 1635 253 549 2661 2331 923 1383 43 1271 1707 67 260 409 1867 2508 3169
58,2628 208 4 1942 358 951 796 1876 408 3082 3118 1051 2654 73 963 1556 1922 2916 1558 2980 1999 61 640 2569 2136 206 259 2882 1602 591 1985 2038 84 7 2281 1486 982 2056 786 2303 6 1525 56 973 2390 1744 1771 1724 2386 146
59,3166 467 3185 1353 2411 442 67 113 17 85 938 314 2402 2564 7 1568 1860 99 0 52 1383 1358 2750 2908 2023 1738 2298 26 1879 2382 3042 1239 165 21 2531 415 102 94 2423 1394 598 2448 1948 1799 82 448 83 2 1586 722
60,136 565 438 83 354 314 107 329 674 621 2074 1102 993 165 11 1451 0 357 17 2910 151 2236 394 2787 273 191 510 64 2708 729 2698 933 490 1348 478 881 874 1819 182 1379 1856 543 228 179 762 938 720 549 558 2907
61,889 2197 1904 58 2887 2309 43 1512 2394 894 1639 155 3061 460 2150 427 739 2297 812 819 868 2846 928 1316 3169 1250 1424 181 1243 1229 2245 1202 1674 203 1198 77 2837 1149 197 71 145 503 46 545 54 2845 1831 2689 2646 50
62,1095 991 387 997 827 1320 334 758 273 1832 1106 281 1097 221 285 2007 2727 1166 1172 1174 1748 2582 1230 1243 2627 2294 2415 3098 516 467 1586 61 1474 2488 529 173 1448 3146 1441 537 2505 947 419 2531 3139 2542 151 1685 2563 1224
63,523 170 63 1170 1321 526 1794 232 427 1775 748 2887 3106 1004 411 942 664 3064 311 2654 1415 1576 592 1753 54 1240 2529 390 2124 1088 935 931 1743 2531 155 187 2565 304 3030 1464 225 460 2153 1140 206 2028 463 145 618 3082
64,115 1021 674 68 1683 20 1656 1558 1819 1039 64 862 2184 558 1758 1074 866 877 1633 2617 177 1848 314 1383 470 889 903 953 750 815 640 2800 1794 1211 765 2754 2276 203 3098 761 151 926 983 2719 985 268 2397 823 2278 3168
65,127 1 11 943 951 82 93 205 618 2546 435 2336 422 374 1598 2331 179 1160 2834 1329 2105 2979 2309 631 36 151 1579 350 1965 550 233 1844 1335 2082 37 87 1464 1551 1813 922 2292 1385 2468 707 2618 1082 2129 2432 152 15
66,1041 2523 1535 435 1787 2423 2422 1122 2345 349 177 1901 985 1039 1021 2054 2129 121 444 1604 295 486 2985 669 2754 2990 342 2529 2683 2589 268 733 39 3002 150 2082 530 1741 429 115 1198 998 324 1210 175 2195 2130 1385 49 394
67,800 46 1464 1169 415 11 2318 756 142 187 432 107 206 651 232 3122 2161 278 698 1170 1106 790 2569 7 957 427 155 1458 951 39 544 21 174 56 1432 1224 1229 775 1775 723 1014 1079 1401 330 1898 580 3178 2079 101 435
68,435 88 2476 2843 753 1311 1717 923 244 2040 2006 67 2220 177 2685 1892 318 197 2812 715 2880 816 666 2448 106 90 1143 3197 2082 477 2115 35 1239 434 1110 1736 142 2493 1518 412 2419 271 272 1041 478 565 304 1667 2243 1808
69,201 2389 37 2276 2231 2227 2207 2748 1977 2869 893 3082 550 640 204 281 2644 1809 318 1572 2202 2680 501 1986 2711 1135 459 2971 190 89 1695 405 1284 1500 2548 2254 110 1557 592 1478 1297 2393 268 2628 1775 1064 491 150 20 432
70,253 1110 1492 99 0 779 761 185 1892 1908 233 243 11 260 2735 98 6 1358 1239 1077 2 1171 1 2345 861 82 1275 1037 1059 2661 386 533 2246 107 106 94 694 1520 1708 1668 1629 244 129 179 2240 205 579 979 922 660
71,1243 65 76 122 315 28 395 408 655 674 759 1082 1095 1135 16 2412 54 4 2979 2415 1335 2013 63 1619 1926 850 1018 1734 3023 282 3101 2 3199 1854 1 2628 1448 337 1286 2529 2601 1813 2592 1678 1283 349 1380 1363 30 172
72,931 1285 53 1287 1303 262 1072 2532 115 2024 1473 3193 502 2384 2301 2204 1166 179 387 1851 2054 2207 388 2077 466 1261 2389 2760 2488 1020 646 3048 1043 3186 1015 2523 1718 1958 2184 151 271 1904 2883 1493 1342 1990 923 1732 1441 1800
73,870 354 705 253 21 174 2269 213 1247 709 1227 1404 1991 1588 3125 67 3181 6 1799 985 324 268 2184 3160 839 1288 517 989 78 143 392 597 449 470 723 2251 854 265 3021 1568 1229 1736 473 1629 410 86 3 2843 185 383
74,2512 84 137 11 0 443 919 1145 1790 2840 759 93 482 997 1386 499 348 7 2716 1115 1661 2901 307 158 2445 1116 737 245 535 63 369 592 1530 1720 268 1614 194 610 1020 1142 871 2189 1158 2732 1303 2368 2764 1648 539 2706
75,145 55 790 409 2488 411 748 37 702 2165 1450 2546 673 128 535 618 2038 27 20 1813 3075 2003 1923 206 3106 1095 1259 2764 3076 388 270 278 81 1493 326 3179 170 350 152 1563 707 2939 550 1196 352 2887 2867 1120 592 2695
76,1399 1014 2625 2764 3038 854 942 2202 4 477 1265 2161 422 738 87 52 988 1095 56 1229 1548 3032 590 2513 2254 2776 508 150 1960 546 544 1176 1172 686 2281 1340 1447 11 2012 408 1292 2336 719 629 81 7 957 2294 2725 2820
77,1213 1813 698 2661 63 2652 763 2750 811 947 979 506 1724 395 412 0 1682 1135 156 1106 6 740 1814 2176 690 94 84 2554 170 2531 98 103 448 997 287 2333 1107 239 1095 759 349 228 427 487 183 2440 2007 8 217 145
78,2352 1856 1106 1847 0 964 86 99 449 2588 245 1216 2136 1559 166 186 2114 1257 1302 2908 1414 2611 1134 249 82 1070 1951 2463 374 404 938 507 666 422 172 2657 1059 1185 1171 1489 3046 2013 1448 273 1496 761 1905 2071 1110 1172
79,627 2176 63 516 546 58 2319 56 1209 1 876 712 156 841 2654 38 2695 1399 3017 2 87 84 257 278 1747 1771 411 1833 3075 105 1525 250 427 2568 608 1550 1097 754 2896 1994 2394 4 1882 1235 1605 738 232 850 832 2646
80,2488 54 9 348 155 175 1097 362 271 1685 460 279 1959 1311 79 349 2476 680 2794 1331 936 23 7 1906 535 2393 2574 993 2309 690 503 2336 1715 526 484 918 134 1603 997 423 1579 2197 2126 1707 213 1991 738 1408 93 754
81,1148 1236 2161 933 1041 2111 1469 2546 1010 1003 1439 38 2468 705 1595 1734 102 2933 1682 826 3012 856 3119 914 698 1287 1760 20 1683 1961 979 716 477 301 2707 544 2567 1480 342 17 1090 502 347 614 2026 1868 2047 3146 145 2191
82,1848 2023 1211 1892 513 1383 1803 1146 2226 2229 558 543 21 288 877 82 115 2 544 0 761 621 2819 422 15 3188 1908 1422 2539 92 331 2074 870 134 1228 1558 3166 1796 3162 175 682 1732 1424 2949 2788 554 3125 481 2636 2306
83,2423 544 1988 102 124 477 1198 2636 170 2079 2 957 52 1550 1 427 1510 179 800 63 1415 649 1116 698 1580 191 1321 151 189 756 1160 1111 3029 394 241 1726 2394 775 155 2887 47 1424 2396 2652 335 2008 43 1351 40 1470
84,2620 2317 1133 1572 1533 2198 2202 968 1477 2959 2492 577 2519 786 697 640 631 1412 2314 869 962 209 1687 814 1939 2012 923 2581 637 2270 1913 463 420 2545 2136 638 2138 2801 2508 1366 761 2003 76 501 2574 1501 868 1938 1775 2013
85,1879 2257 2933 2008 393 2022 2440 487 2058 1667 2547 151 2415 4 2647 1274 2393 1898 82 1424 1335 1375 375 230 89 1 660 2960 517 1541 386 2694 3098 1068 51 817 1925 174 1422 232 499 481 497 171 502 2782 2567 1955 53 651
86,928 97 21 1938 17 1415 93 1247 3197 1015 145 1188 2433 58 330 2189 683 2473 1357 197 2661 1469 2006 243 314 155 2801 2082 125 0 2247 383 1891 448 733 3065 705 1491 90 187 1718 1780 1366 1148 44 1240 1465 2835 2431 1493
87,2894 879 902 856 1558 990 3021 1287 1464 2673 1003 557 3091 2046 2058 479 2597 411 331 2544 2526 262 244 1274 155 1097 1079 309 1707 1369 1350 1847 1 874 828 862 83 2660 1665 1766 2006 2393 2691 1145 3013 104 2227 374 812 1593
88,1464 1224 533 1923 94 36 958 664 3106 1576 11 191 910 427 4 3196 124 1107 152 844 242 411 3185 67 54 754 811 1458 957 368 1229 513 1752 805 1095 263 1497 1394 16 985 153 422 205 151 2294 409 891 315 2618 338
89,118 1255 279 38 598 2251 2774 1171 1258 334 512 1441 502 115 1448 621 1734 1140 466 431 1360 909 648 1845 1540 91 2769 1872 206 877 2289 2582 1904 2824 2054 2483 1087 53 3056 2524 1227 1508 2760 1276 2154 2442 275 1732 1004 2862
90,1004 67 83 39 598 2430 2650 21 1171 147 372 86 761 52 2318 2564 2147 1790 852 410 143 273 1907 1733 915 452 938 38 85 2091 2035 2383 3185 870 2527 2207 886 449 1745 1003 881 283 22 185 335 958 153 690 1079 809
91,1041 448 2488 2760 919 1959 422 17 1936 2039 535 1043 177 877 1531 2074 1908 991 279 823 2946 973 1574 0 1285 23 3048 1852 1331 1015 268 115 3057 2706 38 1270 1709 466 174 716 3162 2200 2930 301 27 1010 175 1586 213 2813
92,1424 2887 1546 63 2309 901 1525 302 349 2281 1474 1470 1458 659 3081 1422 546 1450 31 404 544 36 1386 3068 9 1228 819 2503 378 1198 2569 854 1769 230 2611 1224 2625 194 2423 152 274 723 87 1271 2394 1991 894 1316 2000 1351
93,1918 314 102 16 15 179 1965 605 115 1551 3104 597 415 308 304 429 1598 1247 595 838 1825 935 672 53 242 622 89 1775 21 388 253 1832 1499 25 58 2803 2236 2979 85 998 709 2635 1294 872 2636 630 2901 693 481 1350
94,3016 1198 79 1736 2197 502 1536 59 965 2336 124 21 4 477 449 839 129 404 1908 300 1229 0 174 143 2721 1674 145 2607 854 1303 44 991 2117 698 1242 3181 309 46 155 374 979 761 2298 983 1689 649 121 31 1414 2018
95,1540 926 2617 21 705 2264 1383 2445 2774 985 370 1732 3063 621 870 1848 2092 1544 279 326 2930 271 86 67 23 481 302 648 708 2423 1738 414 1655 515 340 513 2458 2812 103 559 1775 1448 437 382 36 166 1739 2288 270 250
96,1404 11 634 2024 449 448 0 254 2747 243 716 2022 949 285 1523 979 934 136 744 2721 989 47 2008 1118 7 9 1603 66 128 1070 1293 2114 1536 660 991 1389 779 21 572 168 3085 507 1430 143 579 1154 1 95 719 1608
97,1401 20 665 2235 494 191 388 22 1477 3113 358 2079 2440 905 856 2960 1275 1116 243 329 47 1062 1894 2901 241 145 1586 31 1111 605 2008 1470 16 84 137 1731 2313 1391 2333 754 66 1555 21 2129 56 404 1740 38 2358 259
98,2264 2774 716 315 634 1287 978 86 1901 931 81 3011 2190 2289 166 1954 554 1043 705 776 91 3199 1425 590 1189 121 548 1258 3 354 480 1171 209 352 1210 1568 172 1892 1718 2920 1365 1650 2358 536 82 1083 1984 2999 723 983
99,137 881 2531 2213 20 2247 2650 2161 2129 997 478 449 460 2719 153 179 185 0 267 382 387 1118 572 2913 49 861 1470 1102 976 145 874 2008 1355 6 518 1106 1230 1023 991 529 2331 917 2741 5 2463 2333 19 2476 1062 2513
100,1598 641 2006 595 591 1879 51 88 2091 2569 171 2575 168 649 61 651 2625 165 309 2921 719 1549 1860 709 124 52 1044 1582 393 543 891 1412 1498 2247 449 1936 353 1682 58 477 1079 475 2499 248 2812 2708 2102 979 17 262
101,211 535 621 716 851 1038 1072 362 1258 1555 2375 2297 2289 175 218 2454 89 1404 2774 77 169 1480 95 1768 1722 393 2408 1285 1204 414 1545 1866 3048 1088 733 978 1365 447 2384 2483 75 499 1347 928 719 2039 2655 314 2523 44
102,1994 338 326 356 2771 2896 7 2981 1235 3038 1232 1339 1366 378 2654 2572 100 1525 61 712 1882 2176 2271 2317 2517 516 1605 546 585 3030 873 1321 405 838 519 58 708 411 921 1464 1276 1895 1771 523 2121 629 2189 1164 2138 1775
103,50 1084 680 535 151 2528 1921 1243 414 256 38 673 1 1072 716 362 1287 1617 1596 83 21 739 2468 1965 1259 0 2158 244 1448 1171 112 115 69 166 2440 1236 856 3099 2546 1729 1082 2856 2652 2647 49 823 4 1959 368 211
104,2243 1385 2251 213 1139 273 1287 761 2684 1911 1114 2744 491 3005 558 2642 1185 1630 2 1072 2967 758 685 92 894 2790 2719 990 2979 434 2962 68 2090 750 2528 2323 640 107 1995 2816 2136 125 3111 2618 775 1358 2812 1879 65 134
105,694 1259 279 2930 233 554 1414 3162 155 1171 2423 134 928 1 1424 1194 1243 868 1941 2926 3158 26 2375 21 3013 1493 1222 107 558 1221 1790 709 1198 39 1775 67 388 1814 2735 53 744 1603 124 467 175 17 2411 3150 1906 1303
106,638 2601 1908 3171 2167 3028 1958 1331 2158 418 2157 1270 1596 2000 1342 931 2003 2519 2094 2077 2065 2035 2219 88 783 2352 1873 2272 754 371 271 1297 1535 1303 752 2373 411 886 713 494 1953 213 723 1052 707 1978 1597 2148 2173 2432
107,1647 1077 338 415 104 510 448 2946 1062 2124 1448 1948 182 2176 3036 201 1059 2611 438 1430 1464 81 88 134 107 1314 902 2318 2926 1036 357 1892 709 17 2383 970 2264 1520 55 1429 0 2642 1665 949 20 410 2390 2023 64 348
108,1318 1586 3113 460 69 947 2452 32 3010 597 1918 3187 1938 1733 1415 174 1213 871 179 2152 191 1680 2302 1202 308 1247 809 1981 568 1421 82 1501 1357 1511 2853 890 1456 2520 197 1988 559 584 443 182 51 38 58 1015 170 1567
